ID,Event_team,Player,playerno,Shot_place,Shot_outcome,Location,Body_Part,assist_method,Situation,fastbreak,is_goal,xG
13,Occidental,Marcus Blumenfeld,9,8,2,3,1,0,1,0,0,0
13,Occidental,Marcus Blumenfeld,9,5,1,9,2,0,1,0,0,0.09
13,Occidental,Marcus Blumenfeld,9,3,1,3,2,2,1,1,1,1
13,Occidental,Jasper Brannon,10,5,1,15,1,0,1,0,0,0.02
13,Occidental,Logan Myers,16,5,1,3,1,0,1,0,0,0.27
13,Occidental,Logan Myers,16,2,3,15,2,0,1,0,0,0
13,Cal Tech,Rohan Mirchandanu,0,4,1,11,1,0,1,0,0,0.14
13,Occidental,Logan Myers,16,11,4,15,2,0,1,0,0,0
13,Occidental,Joey Schwartz,19,3,1,15,1,0,1,0,1,0.08
13,Occidental,Joey Schwartz,19,2,3,3,2,0,1,0,0,0
13,Occidental,Joey Schwartz,19,3,1,3,2,2,1,0,1,0.42
13,Occidental,Marcus Blumenfeld,9,10,2,15,2,0,1,0,0,0
13,Cal Tech,Samir Johnson ,0,1,2,13,1,0,1,0,0,0
13,Occidental,Ryan Wilson,4,6,2,11,1,0,1,0,0,0
14,Occidental,Jasper Brannon,10,10,2,15,2,0,1,0,0,0
14,Occidental,Nicolas Eble,6,5,1,18,2,0,1,0,0,0
14,UCSC,Keith McCarty,0,5,1,15,1,0,4,0,0,1
14,Occidental,Jack Meeker,13,4,1,15,1,0,1,0,0,0.12
14,Occidental,Jasper Brannon,10,9,2,18,1,0,1,0,0,0
14,Occidental,Logan Myers,16,2,3,15,2,0,4,0,0,0
14,Occidental,David Paine,5,7,4,12,3,0,1,0,0,0
14,Occidental,Jasper Brannon,10,7,4,10,2,0,1,0,0,0
14,UCSC,Kailas Dhond,0,6,2,9,2,0,1,1,0,0
14,UCSC,Will Barba,0,2,3,13,2,2,3,0,0,0
14,Occidental,Nicolas Eble,6,10,2,7,2,0,1,0,0,0
14,UCSC,Kailas Dhond,0,5,1,18,1,0,1,0,0,0.01
14,UCSC,Christian Locatelli,0,3,1,3,1,0,1,0,0,0.59
14,Occidental,Sean Kim,12,1,2,15,1,0,1,0,0,0
14,Occidental,Logan Myers,16,4,1,11,1,0,1,0,0,0.14
14,Occidental,David Paine,5,10,2,3,3,0,1,0,0,0
14,UCSC,Ben Blackfied,0,3,3,11,1,0,1,0,0,0
14,UCSC,Christian Locatelli,0,3,1,10,2,0,1,0,0,0.41
14,UCSC,Will Barba,0,8,2,10,3,0,1,0,0,0
14,Occidental,Matthew Teplitz,7,8,2,3,1,0,1,0,0,0
14,Occidental,Marcus Blumenfeld,9,8,2,11,1,0,1,0,0,0
14,Occidental,Marcus Blumenfeld,9,2,3,3,2,0,1,0,0,0
14,Occidental,Spencer Shearer,3,2,3,15,1,0,1,0,0,0
14,Occidental,Nicolas Eble,6,9,2,15,1,0,1,0,0,0
14,Occidental,Nicolas Eble,6,10,2,9,1,0,1,0,0,0
14,Occidental,Sean Kim,12,5,1,9,1,0,1,0,0,0.06
14,Occidental,Nicolas Eble,6,10,2,15,1,0,4,0,0,0
14,UCSC,Will Barba,0,4,1,3,3,0,1,0,0,0.19
15,Occidental,Ben Simon,8,8,2,18,2,1,1,0,0,0
15,Occidental,Marcus Blumenfeld,9,10,2,15,2,0,1,0,0,0
15,La Verne,James Coe,0,3,1,9,2,0,1,0,0,0.16
15,Occidental,Adrian Paredes,14,5,1,18,1,0,1,0,0,0.01
15,La Verne,Johnny DeRueda,0,5,1,5,1,0,1,0,0,0.04
15,La Verne,Adrian Landeros,0,5,1,17,1,0,1,0,0,0.03
15,La Verne,Daniel Ortega,0,3,1,9,1,0,1,0,0,0.08
15,Occidental,Adrian Paredes,14,10,2,18,1,1,4,0,0,0
15,La Verne,Cesar Rodriguez,0,13,4,4,1,0,1,0,0,0
15,La Verne,Johnny DeRueda,0,5,1,11,1,0,1,1,0,1
15,La Verne,James Coe,0,10,2,13,1,0,1,0,0,0
15,Occidental,Marcus Blumenfeld,9,6,2,9,2,2,1,0,0,0
15,Occidental,David Paine,5,2,3,3,1,0,1,0,0,0
15,Occidental,Tyler Wray,17,12,1,5,2,4,1,0,0,0.4
15,Occidental,Jake Foster,18,13,1,3,1,0,1,0,1,0.72
15,Occidental,Ben Simon,8,2,3,15,1,0,1,0,0,0
